0,17,7, raw_val: 446.256559504, x^2: -4.95697579626, z: -1, k: 7
0,17,8, raw_val: 446.256559504, x^2: -4.95697579626, z: 0, k: 8
0,17,9, raw_val: 446.256559504, x^2: -4.95697579626, z: 1, k: 9
0,17,10, raw_val: 446.256559504, x^2: -4.95697579626, z: 2, k: 10
0,17,11, raw_val: 446.256559504, x^2: -4.95697579626, z: 3, k: 11
0,17,12, raw_val: 446.256559504, x^2: -4.95697579626, z: 4, k: 12
0,17,13, raw_val: 446.256559504, x^2: -4.95697579626, z: 5, k: 13
0,17,14, raw_val: 446.256559504, x^2: -4.95697579626, z: 6, k: 14
0,17,15, raw_val: 446.256559504, x^2: -4.95697579626, z: 7, k: 15
0,18,0, raw_val: 460.531488555, x^2: -5.48717575991, z: -8, k: 0
0,18,1, raw_val: 460.531488555, x^2: -5.48717575991, z: -7, k: 1
0,18,2, raw_val: 460.531488555, x^2: -5.48717575991, z: -6, k: 2
0,18,3, raw_val: 460.531488555, x^2: -5.48717575991, z: -5, k: 3
0,18,4, raw_val: 460.531488555, x^2: -5.48717575991, z: -4, k: 4
0,18,5, raw_val: 460.531488555, x^2: -5.48717575991, z: -3, k: 5
0,18,6, raw_val: 460.531488555, x^2: -5.48717575991, z: -2, k: 6
0,18,7, raw_val: 460.531488555, x^2: -5.48717575991, z: -1, k: 7
0,18,8, raw_val: 460.531488555, x^2: -5.48717575991, z: 0, k: 8
0,18,9, raw_val: 460.531488555, x^2: -5.48717575991, z: 1, k: 9
0,18,10, raw_val: 460.531488555, x^2: -5.48717575991, z: 2, k: 10
0,18,11, raw_val: 460.531488555, x^2: -5.48717575991, z: 3, k: 11
0,18,12, raw_val: 460.531488555, x^2: -5.48717575991, z: 4, k: 12
0,18,13, raw_val: 460.531488555, x^2: -5.48717575991, z: 5, k: 13
0,18,14, raw_val: 460.531488555, x^2: -5.48717575991, z: 6, k: 14
0,18,15, raw_val: 460.531488555, x^2: -5.48717575991, z: 7, k: 15
0,19,0, raw_val: 460.89234687, x^2: -5.50079510132, z: -8, k: 0
0,19,1, raw_val: 460.89234687, x^2: -5.50079510132, z: -7, k: 1
0,19,2, raw_val: 460.89234687, x^2: -5.50079510132, z: -6, k: 2
0,19,3, raw_val: 460.89234687, x^2: -5.50079510132, z: -5, k: 3
0,19,4, raw_val: 460.89234687, x^2: -5.50079510132, z: -4, k: 4
0,19,5, raw_val: 460.89234687, x^2: -5.50079510132, z: -3, k: 5
0,19,6, raw_val: 460.89234687, x^2: -5.50079510132, z: -2, k: 6
0,19,7, raw_val: 460.89234687, x^2: -5.50079510132, z: -1, k: 7
0,19,8, raw_val: 460.89234687, x^2: -5.50079510132, z: 0, k: 8
0,19,9, raw_val: 460.89234687, x^2: -5.50079510132, z: 1, k: 9
0,19,10, raw_val: 460.89234687, x^2: -5.50079510132, z: 2, k: 10
0,19,11, raw_val: 460.89234687, x^2: -5.50079510132, z: 3, k: 11
0,19,12, raw_val: 460.89234687, x^2: -5.50079510132, z: 4, k: 12
0,19,13, raw_val: 460.89234687, x^2: -5.50079510132, z: 5, k: 13
0,19,14, raw_val: 460.89234687, x^2: -5.50079510132, z: 6, k: 14
0,19,15, raw_val: 460.89234687, x^2: -5.50079510132, z: 7, k: 15
0,20,0, raw_val: 439.902910533, x^2: -4.72635681567, z: -8, k: 0
0,20,1, raw_val: 439.902910533, x^2: -4.72635681567, z: -7, k: 1
0,20,2, raw_val: 439.902910533, x^2: -4.72635681567, z: -6, k: 2
0,20,3, raw_val: 439.902910533, x^2: -4.72635681567, z: -5, k: 3
0,20,4, raw_val: 439.902910533, x^2: -4.72635681567, z: -4, k: 4
0,20,5, raw_val: 439.902910533, x^2: -4.72635681567, z: -3, k: 5
0,20,6, raw_val: 439.902910533, x^2: -4.72635681567, z: -2, k: 6
0,20,7, raw_val: 439.902910533, x^2: -4.72635681567, z: -1, k: 7
0,20,8, raw_val: 439.902910533, x^2: -4.72635681567, z: 0, k: 8
0,20,9, raw_val: 439.902910533, x^2: -4.72635681567, z: 1, k: 9
0,20,10, raw_val: 439.902910533, x^2: -4.72635681567, z: 2, k: 10
0,20,11, raw_val: 439.902910533, x^2: -4.72635681567, z: 3, k: 11
0,20,12, raw_val: 439.902910533, x^2: -4.72635681567, z: 4, k: 12
0,20,13, raw_val: 439.902910533, x^2: -4.72635681567, z: 5, k: 13
0,20,14, raw_val: 439.902910533, x^2: -4.72635681567, z: 6, k: 14
0,20,15, raw_val: 439.902910533, x^2: -4.72635681567, z: 7, k: 15
0,21,0, raw_val: 384.597706545, x^2: -2.85861461523, z: -8, k: 0
0,21,1, raw_val: 384.597706545, x^2: -2.85861461523, z: -7, k: 1
0,21,2, raw_val: 384.597706545, x^2: -2.85861461523, z: -6, k: 2
0,21,3, raw_val: 384.597706545, x^2: -2.85861461523, z: -5, k: 3
0,21,4, raw_val: 384.597706545, x^2: -2.85861461523, z: -4, k: 4
0,21,5, raw_val: 384.597706545, x^2: -2.85861461523, z: -3, k: 5
0,21,6, raw_val: 384.597706545, x^2: -2.85861461523, z: -2, k: 6
0,21,7, raw_val: 384.597706545, x^2: -2.85861461523, z: -1, k: 7
0,21,8, raw_val: 384.597706545, x^2: -2.85861461523, z: 0, k: 8
0,21,9, raw_val: 384.597706545, x^2: -2.85861461523, z: 1, k: 9
0,21,10, raw_val: 384.597706545, x^2: -2.85861461523, z: 2, k: 10
0,21,11, raw_val: 384.597706545, x^2: -2.85861461523, z: 3, k: 11
0,21,12, raw_val: 384.597706545, x^2: -2.85861461523, z: 4, k: 12
